10:58:15.927 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:05:35.224 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:05:35.224 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:08:47.272 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:08:47.272 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:17:06.535 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:17:06.535 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:22:00.742 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:22:00.742 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:31:39.280 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:31:39.280 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:39:25.649 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:39:25.649 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
13:28:17.064 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
13:28:17.065 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:05:09.023 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:05:09.023 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:37:43.574 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:37:43.574 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:43:15.097 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:43:15.098 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:50:28.457 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:50:28.458 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
15:00:44.570 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:00:44.570 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
15:08:02.191 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:08:02.191 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
15:19:39.798 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:19:39.799 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
15:27:15.478 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:27:15.479 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
15:39:49.868 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:39:49.868 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
16:09:19.849 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
16:09:19.850 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
16:31:06.573 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
16:31:06.573 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
16:38:22.998 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
16:38:22.998 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
16:45:49.872 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
16:45:49.872 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
16:54:07.787 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
16:54:07.788 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
17:56:05.456 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
17:56:05.457 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
18:01:22.344 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
18:01:22.344 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
18:07:49.893 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
18:07:49.894 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
18:14:45.806 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
18:14:45.806 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
18:20:34.373 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
18:20:34.373 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
18:31:26.284 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
18:31:26.284 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
13:30:39.757 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
13:30:39.758 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:55:13.254 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:55:13.255 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:07:33.781 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:07:33.781 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:15:59.222 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:15:59.222 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:21:01.437 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:21:01.438 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:27:32.284 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:27:32.284 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:33:43.459 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:33:43.459 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:41:19.659 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:41:19.659 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
11:56:11.565 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:56:11.566 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
12:00:26.002 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
12:00:26.003 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
13:13:38.697 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
13:13:38.698 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
13:16:25.511 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
13:16:25.511 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
13:29:18.341 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
13:29:18.341 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
13:47:13.928 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
13:47:13.929 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
13:56:20.347 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
13:56:20.347 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
13:57:30.567 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
13:57:30.568 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:03:40.591 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:03:40.591 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:24:24.252 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:24:24.252 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:32:54.087 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:32:54.088 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:48:04.176 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:48:04.176 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
14:55:55.191 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
14:55:55.191 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
15:06:14.474 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:06:14.475 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
15:06:28.031 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:06:28.031 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
15:14:58.130 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:14:58.130 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
15:19:21.770 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:19:21.771 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
15:28:41.287 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
15:28:41.287 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - true
15:35:52.384 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
